# Netdata Topology OUI Vendor Dataset
# Generated: 2026-02-26T08:31:44Z
# Sources:
# - ieee_oui https://standards-oui.ieee.org/oui/oui.csv
# - ieee_cid https://standards-oui.ieee.org/cid/cid.csv
# - ieee_oui36 https://standards-oui.ieee.org/oui36/oui36.csv
# - ieee_iab https://standards-oui.ieee.org/iab/iab.csv
# Format: <HEX_PREFIX>\t<VENDOR>
001BC5000	Converging Systems Inc.
8C1F64111	ISAC SRL
8C1F64113	Timberline Manufacturing
8C1F64114	Sanmina SCI Medical
8C1F64115	Neuralog LP
8C1F64116	Sicon srl
8C1F64117	Grossenbacher Systeme AG
8C1F64118	Automata GmbH & Co. KG
8C1F64119	Foxconn Technology Co., Ltd.
8C1F6411B	Power Electronics Espana, S.L.
8C1F6411E	Infosoft Digital Design and Services P L
8C1F6411F	NodeUDesign
8C1F64121	Hefei EverACQ Technology Co., LTD
8C1F64123	GeneSys Elektronik GmbH
8C1F64125	Hangzhou Sciener Smart Technology Co., Ltd.
8C1F64126	Harvest Technology Pty Ltd
8C1F64127	Retronix Technology Inc.
8C1F64128	YULISTA INTEGRATED SOLUTION
8C1F64129	Navtech Radar Ltd.
8C1F6412B	Beijing Tongtech Technology Co., Ltd.
8C1F6412D	YUYAMA MFG Co.,Ltd
8C1F6412E	inomatic GmbH
8C1F64133	Vtron Pty Ltd
8C1F64134	LyconSys GmbH & Co.KG
8C1F64135	Yuval Fichman
8C1F64138	Vissavi sp. z o.o.
8C1F6413B	SDELcc
8C1F6413C	SiFive Inc
8C1F6413E	BTEC INDUSTRIAL INSTRUMENT SDN. BHD.
8C1F6413F	Elsist Srl
8C1F64140	RF-Tuote Oy
8C1F64141	Code Blue Corporation
8C1F64143	ChamSys
8C1F64144	Langfang ENN lntelligent Technology Co.,Ltd.
8C1F64145	Spectrum FiftyNine BV
8C1F64146	Zhongrun Xinchan (Beijing) Technology Co., Ltd
8C1F64148	CAREHAWK
8C1F64149	Clock-O-Matic
8C1F6414A	Richie Ltd
8C1F6414B	Potter Electric Signal Co. LLC
8C1F6414D	Vertesz Elektronika Kft.
8C1F6414F	NSM
8C1F64151	Gogo Business Aviation
8C1F64154	Flextronics International Kft
8C1F64155	SLAT
8C1F64156	Grinn Sp. z o.o.
8C1F64159	Mediana Co., Ltd.
8C1F6415A	ASHIDA Electronics Pvt. Ltd
8C1F6415C	TRON FUTURE TECH INC.
8C1F6415D	Nhoa Energy Srl
8C1F6415E	Dynomotion, Inc
8C1F64164	Revo - Tec GmbH
8C1F64166	Hikari Alphax Inc.
8C1F64169	Creative Telecom Pvt. Ltd.
8C1F6416A	KEYLINE S.P.A.
8C1F6416B	TKR Spezialwerkzeuge GmbH
8C1F6416D	Xiamen Rgblink Science & Technology Co., Ltd.
8C1F6416E	Benchmark Electronics BV
8C1F6416F	Codasip s.r.o.
8C1F64170	Fracarro Radioindustrie Srl
8C1F64174	KST technology
8C1F64175	Wuhan YiValley Opto-electric technology Co.,Ltd
8C1F64176	Leidos Inc
8C1F64177	Emcom Systems
8C1F64178	Attack do Brasil Ind Com Apar de Som LTDA
8C1F64179	Agrowtek Inc.
8C1F6417A	Sichuan ZhikongLingxin Technology Co., Ltd.
8C1F6417B	Bavaria Digital Technik GmbH
8C1F6417C	Zelp Ltd
8C1F6417E	MI Inc.
8C1F64180	Structural Integrity Services
8C1F64183	NICE Total Cash Management Co., Ltd.
8C1F64185	BIOTAGE GB LTD
8C1F64186	Breas Medical AB
8C1F64187	Sicon srl
8C1F6418A	Network Rail
8C1F6418B	M-Pulse GmbH & Co.KG
8C1F6418E	J1-LED Intelligent Transport Systems Pty Ltd
8C1F64190	Wesync
8C1F64193	Sicon srl
8C1F64194	TIFLEX
8C1F64195	VERIDAS Digital Authentication Solutions S.L
8C1F64196	Secuinfo Co.Ltd
8C1F64197	TEKVOX, Inc
8C1F64198	REO AG
8C1F64199	Shenzhen Arctec Innovation Technology Co.,Ltd
8C1F6419B	FeedFlo
8C1F6419C	Aton srl
8C1F641A0	Engage Technologies
8C1F641A5	DIALTRONICS SYSTEMS PVT LTD
8C1F641A7	aelettronica group srl
8C1F641A8	Private
8C1F641AC	Unitron Systems b.v.
8C1F641AD	Nexxto Servicos Em Tecnologia da Informacao SA
8C1F641AE	Bounce Imaging
8C1F641AF	EnviroNode IoT Solutions
8C1F641B1	person-AIz AS
8C1F641B2	Rapid-e-Engineering Steffen Kramer
8C1F641B5	Xicato
8C1F641B6	Red Sensors Limited
8C1F641B7	Rax-Tech International
8C1F641B9	D.T.S Illuminazione Srl
8C1F641BA	Innovative Signal Analysis
8C1F641BB	Renwei Electronics Technology (Shenzhen) Co.,LTD.
8C1F641BC	Transit Solutions, LLC.
8C1F641BD	DORLET SAU
8C1F641BE	MIDEUM ENG
8C1F641BF	Ossia Inc
8C1F641C0	INVENTIA Sp. z o.o.
8C1F641C2	Solid Invent Ltda.
8C1F641C4	EDGX bv
8C1F641C5	Breas Medical AB
8C1F641C9	Pneumax Spa
8C1F641CA	Power Electronics Espana, S.L.
8C1F641CB	SASYS e.K.
8C1F641CE	Eiden Co.,Ltd.
8C1F641CF	BAOLIHDER CO.,LTD.
8C1F641D0	MB connect line GmbH Fernwartungssysteme
8C1F641D1	AS Strömungstechnik GmbH
8C1F641D3	Opus-Two ICS
8C1F641D4	Integer.pl S.A.
8C1F641D5	Beijing Diwei Shuangxing Communication Technology Co., Ltd.
8C1F641D6	ZHEJIANG QIAN INFORMATION & TECHNOLOGIES
8C1F641D7	Beanair Sensors
8C1F641D8	Mesomat inc.
8C1F641DA	Chongqing Huaxiu Technology Co.,Ltd
8C1F641DB	Cycle GmbH
8C1F641DD	Beijing Shengtongnaan Technology Development Co ., Ltd
8C1F641DE	Power Electronics Espana, S.L.
8C1F641E0	I2V Systems Pvt. Ltd.
8C1F641E1	VAF Co.
8C1F641E2	Potter Electric Signal Co. LLC
8C1F641E3	WBNet
8C1F641E4	AEviso Video Solution Co., Ltd.
8C1F641E6	Radian Research, Inc.
8C1F641E7	CANON ELECTRON TUBES & DEVICES CO., LTD.
8C1F641E8	Haptech Defense Systems
8C1F641E9	RC Systems
8C1F641EA	Asteelflash Design Solutions Hamburg GmbH
8C1F641ED	Lichtwart GmbH
8C1F641EE	Kneron (Taiwan) Co., Ltd.
8C1F641EF	Tantronic AG
8C1F641F0	AVCOMM Technologies Inc
8C1F641F4	EIFFAGE ENERGIE ELECTRONIQUE
8C1F641F5	NanoThings Inc.
8C1F641F7	Sicon srl
8C1F641F9	TelecomWadi
8C1F641FA	YDIIT Co., Ltd.
8C1F641FC	Yu Heng Electric CO. TD
8C1F641FE	Burk Technology
8C1F641FF	ReCar LLC DBA Slate Auto
8C1F64201	Hiwin Mikrosystem Corp.
8C1F64203	ENTOSS Co.,Ltd
8C1F64204	castcore
8C1F64206	KRYFS TECHNOLOGIES PRIVATE LIMITED
8C1F64208	Sichuan AnSphere Technology Co. Ltd.
8C1F6420A	Oriux
8C1F6420C	Shanghai Stairmed Technology Co.,ltd
8C1F6420D	Grossenbacher Systeme AG
8C1F6420E	Alpha Bridge Technologies Private Limited
8C1F64211	Bipom Electronics, Inc.
8C1F64215	XLOGIC srl
8C1F64219	Guangzhou Desam Audio Co.,Ltd
8C1F6421A	Exicom Technologies India Pvt. Ltd.
8C1F6421C	LLC "EMS-Expert"
8C1F6421E	The Bionetics Corporation
8C1F64221	YUANSIANG OPTOELECTRONICS CO.,LTD.
8C1F64224	PHB Eletronica Ltda.
8C1F64226	Colossus Computing, Inc.
8C1F64227	Digilens
8C1F64228	Shenzhen Chuanxin Micro Technology Co., Ltd
8C1F6422D	KAYSONS ELECTRICALS PRIVATE LIMITED
8C1F6422E	Jide Car Rastreamento e Monitoramento LTDA
8C1F64231	Shenzhen zhushida Technology lnformation Co.,Ltd
8C1F64232	Monnit Corporation
8C1F64233	TCL OPERATIONS POLSKA SP. Z O.O.
8C1F64235	Marson Technology Co., Ltd.
8C1F64237	MB connect line GmbH
8C1F64239	SHEKEL SCALES 2008 LTD
8C1F6423D	Mokila Networks Pvt Ltd
8C1F6423E	Quantum Blockchains Sp. z o.o.
8C1F64240	HuiTong intelligence Company
8C1F64242	GIORDANO CONTROLS SPA
8C1F64244	Hutchison Drei Austria Gmbh
8C1F64246	Oriux
8C1F64247	Dadhwal Weighing Instrument Repairing Works
8C1F64248	Terragene
8C1F64249	TEX COMPUTER SRL
8C1F6424C	Shenzhen Link-All Technolgy Co., Ltd
8C1F6424D	XI'AN JIAODA KAIDA NEW TECHNOLOGY CO.LTD
8C1F6424E	YUYAMA MFG Co.,Ltd
8C1F64250	ACCURATE OPTOELECTRONICS PVT. LTD.
8C1F64251	Watchdog Systems
8C1F64252	TYT Electronics CO., LTD
8C1F64254	Zhuhai Yunzhou Intelligence Technology Ltd.
8C1F64256	Landinger
8C1F64257	Four Bars Design
8C1F64259	SHODEN Co., Ltd.
8C1F6425A	Wuhan Xingtuxinke ELectronic Co.,Ltd
8C1F6425C	TimeMachines Inc.
8C1F6425E	R2Sonic, LLC
8C1F6425F	Acuris Inc
8C1F64260	E-alarms
8C1F64261	TargaSystem S.r.L.
8C1F64263	EPC Power Corporation
8C1F64264	BR. Voss Ingenjörsfirma AB
8C1F64266	Guardian Controls International Ltd
8C1F64267	Karl DUNGS GmbH & Co. KG
8C1F64268	Astro Machine Corporation
8C1F64269	Sicon srl
8C1F6426B	Profcon AB
8C1F6426C	Diatech co.,ltd.
8C1F6426E	Koizumi Lighting Technology Corp.
8C1F6426F	QUISS GmbH
8C1F64270	Xi‘an Hangguang Satellite and Control Technology Co.,Ltd
8C1F64271	Wuhan YiValley Opto-electric technology Co.,Ltd
8C1F64272	Comminent Pvt Ltd
8C1F64273	Distran AG
8C1F64274	INVIXIUM ACCESS INC
8C1F64275	IDA North America Inc.
8C1F64277	Shenzhen Angstrom Excellence Technology Co., Ltd
8C1F6427A	Rudolf Riester GmbH
8C1F6427B	Oriux
8C1F6427C	Tactical Blue Space Ventures LLC
8C1F6427D	Pneumax Spa
8C1F6427F	Whizz Systems Inc.
8C1F64280	HEITEC AG
8C1F64281	NVP TECO LTD
8C1F64285	Smart Tech Inc
8C1F64286	i2s
8C1F64288	Vision Systems Safety Tech
8C1F64289	Craft4 Digital GmbH
8C1F6428A	Arcopie
8C1F6428B	Power Electronics Espana, S.L.
8C1F6428C	Sakura Seiki Co.,Ltd.
8C1F6428D	AVA Monitoring AB
8C1F64290	UBIQ TECHNOLOGIES INTERNATIONAL LTD
8C1F64291	Jiangsu Ruidong Electric Power Technology Co.,Ltd
8C1F64292	Gogo Business Aviation
8C1F64293	Landis+Gyr Equipamentos de Medição Ltda
8C1F64294	nanoTRONIX Computing Inc.
8C1F64295	Ophir Manufacturing Solutions Pte Ltd
8C1F64296	Roog zhi tong Technology(Beijing) Co.,Ltd
8C1F64297	IGEMA GmbH
8C1F64298	Megger Germany GmbH
8C1F64299	Integer.pl S.A.
8C1F6429A	Power Electronics Espana, S.L.
8C1F6429B	TT electronics integrated manufacturing services (Suzhou) Limited
8C1F6429C	Thales Nederland BV
8C1F6429D	Automata GmbH & Co. KG
8C1F6429E	AD Parts, S.L.
8C1F6429F	NAGTECH LLC
8C1F642A0	Connected Development
8C1F642A1	Pantherun Technologies Pvt Ltd
8C1F642A2	SERAP
8C1F642A3	NSK Co.,Ltd.
8C1F642A4	YUYAMA MFG Co.,Ltd
8C1F642A5	Nonet Inc
8C1F642A6	Radiation Solutions Inc.
8C1F642A7	aelettronica group srl
8C1F642A8	SHALARM SECURITY Co.,LTD
8C1F642A9	Elbit Systems of America, LLC
8C1F642AA	Xi'an Singularity Energy Co., Ltd.
8C1F642AC	DCO SYSTEMS LTD
8C1F642AF	A-Best Co.,Lid.
8C1F642B1	U -MEI-DAH INT'L ENTERPRISE CO.,LTD.
8C1F642B4	Sonel S.A.
8C1F642B6	Stercom Power Solutions GmbH
8C1F642B8	Veinland GmbH
8C1F642BB	Chakra Technology Ltd
8C1F642BC	DEUTA Werke GmbH
8C1F642BF	Gogo Business Aviation
8C1F642C0	Tieline Research Pty Ltd
8C1F642C2	TEX COMPUTER SRL
8C1F642C3	TeraDiode / Panasonic
8C1F642C4	Xylon
8C1F642C5	SYSN
8C1F642C6	YUYAMA MFG Co.,Ltd
8C1F642C7	CONTRALTO AUDIO SRL
8C1F642C8	BRS Sistemas Eletrônicos
8C1F642CB	Smart Component Technologies Ltd
8C1F642CC	SBS SpA
8C1F642CD	Taiwan Vtron
8C1F642CE	E2 Nova Corporation
8C1F642D0	Cambridge Research Systems Ltd
8C1F642D5	J&J Philippines Corporation
8C1F642D6	TECHTUIT CO.,LTD.
8C1F642D8	CONTROL SYSTEMS Srl
8C1F642DC	TimeMachines Inc.
8C1F642DD	Flextronics International Kft
8C1F642DE	Polar Bear Design
8C1F642DF	Ubotica Technologies
8C1F642E2	Mark Roberts Motion Control
8C1F642E3	Erba Lachema s.r.o.
8C1F642E4	Vision Systems Safety Tech
8C1F642E5	GS Elektromedizinsiche Geräte G. Stemple GmbH
8C1F642E8	Sonora Network Solutions
8C1F642EC	HD Vision Systems GmbH
8C1F642EE	Qualitrol LLC
8C1F642EF	Invisense AB
8C1F642F0	Switch Science, Inc.
8C1F642F1	DEUTA Werke GmbH
8C1F642F2	ENLESS WIRELESS
8C1F642F4	Scame Sistemi srl
8C1F642F5	Florida R&D Associates LLC
8C1F642F7	Sealink Technology B.V
8C1F642F9	TSS COMPANY s.r.o.
8C1F642FA	RFENGINE CO., LTD.
8C1F642FB	MB connect line GmbH Fernwartungssysteme
8C1F642FC	Unimar, Inc.
8C1F642FD	Enestone Corporation
8C1F642FE	VERSITRON, Inc.
8C1F64300	Abbott Diagnostics Technologies AS
8C1F64301	Agar Corporation Inc.
8C1F64303	IntelliPlanner Software System India Pvt Ltd
8C1F64304	Jemac Sweden AB
8C1F64305	VivoKey Technologies Inc.
8C1F64306	Corigine,Inc.
8C1F64309	MECT SRL
8C1F6430A	XCOM Labs
8C1F6430C	Narnix Edge Pvt. Ltd.
8C1F6430D	Flextronics International Kft
8C1F6430E	Tangent Design Engineering
8C1F6430F	EAST PHOTONICS
8C1F64313	SB-GROUP LTD
8C1F64314	Cedel BV
8C1F64316	Potter Electric Signal Co. LLC
8C1F64317	Bacancy Systems LLP
8C1F64319	Exato Company
8C1F6431A	Asiga Pty Ltd
8C1F6431B	joint analytical systems GmbH
8C1F6431C	Accumetrics
8C1F6431D	Tech Mobility Aps
8C1F6431F	STV Electronic GmbH
8C1F64324	Kinetic Technologies
8C1F64327	Deutescher Wetterdienst
8C1F64328	Com Video Security Systems Co., Ltd.
8C1F64329	YUYAMA MFG Co.,Ltd
8C1F6432A	ABB
8C1F6432B	Shenyang Taihua Technology Co., Ltd.
8C1F6432C	Taiko Audio B.V.
8C1F6432E	Trineo Systems Sp. z o.o.
8C1F6432F	DEUTA Controls GmbH
8C1F64330	Vision Systems Safety Tech
8C1F64332	NEXET LLC
8C1F64334	OutdoorLink
8C1F64338	Rheingold Heavy LLC
8C1F6433C	HUBRIS TECHNOLOGIES PRIVATE LIMITED
8C1F6433D	ARROW (CHINA) ELECTRONICS TRADING CO., LTD.
8C1F64340	BRS Sistemas Eletrônicos
8C1F64342	TimeMachines Inc.
8C1F64345	Kreafeuer AG, Swiss finsh
8C1F64347	Plut d.o.o.
8C1F64348	Breas Medical AB
8C1F64349	WAVES SYSTEM
8C1F6434A	Raspberry Pi (Trading) Ltd
8C1F6434B	Infrared Inspection Systems
8C1F6434C	Kyushu Keisokki Co.,Ltd.
8C1F6434D	biosilver .co.,ltd
8C1F6434F	Systec Designs BV
8C1F64350	biosilver .co.,ltd
8C1F64352	Mediashare Ltd
8C1F64354	Paul Tagliamonte
8C1F64357	YUYAMA MFG Co.,Ltd
8C1F64358	Denso Manufacturing Tennessee
8C1F6435C	Opgal Optronic Industries ltd
8C1F6435D	Security&Best
8C1F6435E	Test21 Taiwan Corp
8C1F64362	Power Electronics Espana, S.L.
8C1F64363	Grossenbacher Systeme AG
8C1F64364	TILAK INTERNATIONAL
8C1F64365	VECTOR TECHNOLOGIES, LLC
8C1F64366	MB connect line GmbH Fernwartungssysteme
8C1F64367	LAMTEC Mess- und Regeltechnik für Feuerungen GmbH & Co. KG
8C1F64368	Crosstek Co., Ltd
8C1F64369	Orbital Astronautics Ltd
8C1F6436A	INVENTIS S.r.l.
8C1F6436B	ViewSonic Corp
8C1F6436E	Abbott Diagnostics Technologies AS
8C1F6436F	SP MANUFACTURING PTE LTD
8C1F64370	WOLF Advanced Technology
8C1F64371	LIMAB AB
8C1F64372	WINK Streaming
8C1F64374	Accord Communications Ltd
8C1F64375	DUEVI SRL
8C1F64376	DIAS Infrared GmbH
8C1F64377	Solotech
8C1F64378	spar Power Technologies Inc.
8C1F6437A	GETQCALL
8C1F6437B	MITSUBISHI ELECTRIC INDIA PVT. LTD.
8C1F6437C	MOIZ
8C1F6437D	Season Electronics Ltd
8C1F6437E	SIDUS Solutions, LLC
8C1F6437F	Scarlet Tech Co., Ltd.
8C1F64380	YSLAB
8C1F64382	Shenzhen ROLSTONE Technology Co., Ltd
8C1F64384	Tango Tango
8C1F64385	Multilane Inc
8C1F64387	OMNIVISION
8C1F64388	MB connect line GmbH Fernwartungssysteme
8C1F6438A	All Points Broadband
8C1F6438B	Borrell USA Corp
8C1F6438C	XIAMEN ZHIXIAOJIN INTELLIGENT TECHNOLOGY CO., LTD
8C1F6438D	Wilson Electronics
8C1F6438E	Wartsila Voyage Oy
8C1F6438F	Unabiz
8C1F64390	SkyLabs d.o.o.
8C1F64391	CPC (UK)
8C1F64392	mmc kommunikationstechnologie gmbh
8C1F64393	GRE SYSTEM INC.
8C1F64394	Ceranext Ltd
8C1F64395	Beijing Ceresdata Technology Co., LTD
8C1F64396	MixWave, Inc.
8C1F64397	Intel Corporate
8C1F64398	Software Systems Plus
8C1F6439A	Golding Audio Ltd
8C1F6439B	Deviceworx Technologies Inc.
8C1F6439E	Abbott Diagnostics Technologies AS
8C1F6439F	Guangzhou Beizeng Information Technology Co.,Ltd
8C1F643A2	Kron Medidores
8C1F643A3	Lumentum
8C1F643A4	QLM Technology Ltd
8C1F643AC	Benison Tech
8C1F643AD	TowerIQ
8C1F643AF	PSA Technology Ltda.
8C1F643B0	Flextronics International Kft
8C1F643B1	Panoramic Power
8C1F643B2	Real Digital
8C1F643B5	SVMS
8C1F643B6	TEX COMPUTER SRL
8C1F643B7	AI-BLOX
8C1F643B8	HUBRIS TECHNOLOGIES PRIVATE LIMITED
8C1F643BA	MITSUBISHI ELECTRIC INDIA PVT. LTD.
8C1F643BB	Clausal Computing Oy
8C1F643BD	Oriux
8C1F643C0	SNEK
8C1F643C1	Suzhou Lianshichuangzhi Technology Co., Ltd
8C1F643C2	Samuel Cosgrove
8C1F643C4	NavSys Technology Inc.
8C1F643C5	Stratis IOT
8C1F643C6	Wavestream Corp
8C1F643C7	RESMED PTY LTD
8C1F643C8	BTG Instruments AB
8C1F643C9	TECHPLUS-LINK Technology Co.,Ltd
8C1F643CB	Anhui Wenxiang Technology Co.,Ltd.
8C1F643CD	Sejong security system Cor.
8C1F643CE	MAHINDR & MAHINDRA
8C1F643D0	TRIPLTEK
8C1F643D1	EMIT GmbH
8C1F643D2	UVIRCO Technologies
8C1F643D4	e.p.g. Elettronica s.r.l.
8C1F643D5	FRAKO Kondensatoren- und Anlagenbau GmbH
8C1F643D6	Kyowakiden Industry Co.,Ltd.
8C1F643D7	Eiden Co.,Ltd.
8C1F643D9	Unlimited Bandwidth LLC
8C1F643DB	BRS Sistemas Eletrônicos
8C1F643DD	DORLET SAU
8C1F643DF	LimeSoft Co., Ltd.
8C1F643E0	YPP Corporation
8C1F643E2	Agrico
8C1F643E3	FMTec GmbH - Future Management Technologies
8C1F643E5	Systems Mechanics
8C1F643E6	elbe informatik GmbH
8C1F643E8	Ruichuangte
8C1F643E9	HEITEC AG
8C1F643EA	CHIPSCAPE SECURITY SYSTEMS
8C1F643EB	Samwell International Inc
8C1F643ED	The Exploration Company
8C1F643EE	BnB Information Technology
8C1F643F2	SURYA ELECTRONICS
8C1F643F3	Cambrian Works, Inc.
8C1F643F4	ACTELSER S.L.
8C1F643F6	ANTARA TECHNOLOGIES
8C1F643F7	Mitsubishi Electric India Pvt. Ltd.
8C1F643F9	YU YAN SYSTEM TECHNOLOGY CO., LTD.
8C1F643FC	STV Electronic GmbH
8C1F643FE	Plum sp. z.o.o.
8C1F643FF	UISEE(SHANGHAI) AUTOMOTIVE TECHNOLOGIES LTD.
8C1F64402	Integer.pl S.A.
8C1F64406	ANDA TELECOM PVT LTD
8C1F64407	broadtek
8C1F64408	techone system
8C1F6440A	Enki Multimedia
8C1F6440C	Sichuan Aiyijan Technology Company Ltd.
8C1F6440D	PROFITT Ltd
8C1F6440E	Baker Hughes EMEA
8C1F64410	Roboteq
8C1F64412	Comercial Electronica Studio-2 s.l.
8C1F64414	INSEVIS GmbH
8C1F64415	OnAsset Intelligence
8C1F64417	Fracarro srl
8C1F64419	Naval Group
8C1F6441B	ENERGY POWER PRODUCTS LIMITED
8C1F6441C	KSE GmbH
8C1F6441D	Aspen Spectra Sdn Bhd
8C1F6441E	Linxpeed Limited
8C1F6441F	Gigalane
8C1F64421	J B Electronics Corp
8C1F64423	Hiwin Mikrosystem Corp.
8C1F64426	eumig industrie-TV GmbH.
8C1F64427	MB connect line GmbH Fernwartungssysteme
8C1F64429	Abbott Diagnostics Technologies AS
8C1F6442A	Atonarp Inc.
8C1F6442B	Gamber Johnson-LLC
8C1F6442D	Jemac Sweden AB
8C1F6442F	Tomorrow Companies Inc
8C1F64432	Rebel Systems
8C1F64434	netmon
8C1F64437	Gogo BA
8C1F64438	Integer.pl S.A.
8C1F64439	BORNICO
8C1F6443A	Spacelite Inc
8C1F6443D	Solid State Supplies Ltd
8C1F6443E	Syrma SGS Technology
8C1F6443F	beespace Technologies Limited
8C1F64440	MB connect line GmbH Fernwartungssysteme
8C1F64441	Novanta IMS
8C1F64442	Potter Electric Signal Co. LLC
8C1F64444	Contrive Srl
8C1F64445	Figment Design Laboratories
8C1F64447	MARVAUS TECHNOLOGIES PRIVATE LIMITED
8C1F64448	Förster-Technik GmbH
8C1F6444A	Onbitel
8C1F6444D	Design and Manufacturing Vista Electronics Pvt.Ltd.
8C1F6444E	GVA Lighting, Inc.
8C1F6444F	RealD, Inc.
8C1F64451	Guan Show Technologe Co., Ltd.
8C1F64454	KJ Klimateknik A/S
8C1F64455	Weigl GmbH & Co KG
8C1F64457	SHANGHAI ANGWEI INFORMATION TECHNOLOGY CO.,LTD.
8C1F64458	AooGee Controls Co., LTD.
8C1F64459	GreenTally LLC
8C1F6445A	Inspur Digital Enterprise Technology Co., Ltd.
8C1F6445B	Beijing Aoxing Technology Co.,Ltd
8C1F6445D	Fuzhou Tucsen Photonics Co.,Ltd
8C1F6445E	Hangzhou Zhongchuan Digital Equipment Co., Ltd.
8C1F6445F	Toshniwal Security Solutions Pvt Ltd
8C1F64460	Solace Systems Inc.
8C1F64461	Kara Partners LLC
8C1F64462	REO AG
8C1F64465	IXORIGUE TECHNOLOGIES SL
8C1F64466	Intamsys Technology Co.Ltd
8C1F6446A	Pharsighted LLC
8C1F6446D	MB connect line GmbH
8C1F64470	Canfield Scientific Inc
8C1F64472	Surge Networks, Inc.
8C1F64473	Plum sp. z.o.o.
8C1F64474	AUDIOBYTE S.R.L.
8C1F64475	Alpine Quantum Technologies GmbH
8C1F64476	Clair Global Corporation
8C1F64477	Blaucomm Ltd
8C1F64479	AKSE srl
8C1F6447A	Missing Link Electronics, Inc.
8C1F6447B	Fluid Components Intl
8C1F6447D	EB NEURO SPA
8C1F6447E	Novanta IMS
8C1F64480	SOCA TECHNOLOGY CO., LTD.
8C1F64481	VirtualV Trading Limited
8C1F64482	Vismes sarl
8C1F64486	Longhorn lntelligent Tech Co.,Ltd.
8C1F64487	TECHKON GmbH
8C1F64489	HUPI
8C1F6448B	Monnit Corporation
8C1F6448C	Electronic Equipment Company Pvt. Ltd.
8C1F6448D	Private
8C1F6448F	Mecos AG
8C1F64490	SAMSON CO.,LTD.
8C1F64491	Phospec Industries Inc.
8C1F64493	Security Products International, LLC
8C1F64495	DAVE SRL
8C1F64496	QUALSEN(GUANGZHOU)TECHNOLOGIES CO.,LTD
8C1F64497	Primalucelab S.p.A.
8C1F64498	YUYAMA MFG Co.,Ltd
8C1F64499	TIAMA
8C1F6449A	Sigmann Elektronik GmbH
8C1F6449B	Wartsila Voyage Oy
8C1F6449C	Red Lion Europe GmbH
8C1F6449F	Shenzhen Dongman Technology Co.,Ltd
8C1F644A0	Tantec A/S
8C1F644A1	Breas Medical AB
8C1F644A2	Bludigit SpA
8C1F644A3	ID Quantique SA
8C1F644A4	Potter Electric Signal Co. LLC
8C1F644A6	Alaire Technologies Inc
8C1F644A7	Potter Electric Signal Co. LLC
8C1F644A8	Exact Sciences
8C1F644A9	Martec Marine S.p.a.
8C1F644AA	GigaIO Networks, Inc.
8C1F644AC	Vekto
8C1F644AE	KCS Co., Ltd.
8C1F644AF	miniDSP
8C1F644B0	U -MEI-DAH INT'L ENTERPRISE CO.,LTD.
8C1F644B2	GV Technology Co.,Ltd.
8C1F644B3	XYZ Digital Private Limited
8C1F644B4	Point One Navigation
8C1F644B8	astTECS Communications Private Limited
8C1F644BB	IWS Global Pty Ltd
8C1F644BF	Smart Monitoring Innovations Private Limited
8C1F644C1	Clock-O-Matic
8C1F644C2	Laser Imagineering Vertriebs GmbH
8C1F644C4	Innovative Industries
8C1F644C7	SBS SpA
8C1F644C9	Apantac LLC
8C1F644CA	North Building Technologies Limited
8C1F644CC	Carestream Healthcare International Company Limited
8C1F644CD	Guan Show Technologe Co., Ltd.
8C1F644CF	Sicon srl
8C1F644D0	SunSonic LLC
8C1F644D6	Dan Smith LLC
8C1F644D7	Flextronics International Kft
8C1F644D9	SECURICO ELECTRONICS INDIA LTD
8C1F644DA	DTDS Technology Pte Ltd
8C1F644DB	Private
8C1F644DC	BESO sp. z o.o.
8C1F644DD	Griffyn Robotech Private Limited
8C1F644DF	EMRI
8C1F644E0	PuS GmbH und Co. KG
8C1F644E3	Exi Flow Measurement Ltd
8C1F644E4	Nuvation Energy
8C1F644E5	Renukas Castle Hard- and Software
8C1F644E6	Schippers Europe BV
8C1F644E7	Circuit Solutions
8C1F644E9	EERS GLOBAL TECHNOLOGIES INC.
8C1F644EB	flsystem
8C1F644EC	XOR UK Corporation Limited
8C1F644ED	VENTIONEX INNOVATIONS SDN BHD
8C1F644F0	Tieline Research Pty Ltd
8C1F644F1	Abbott Diagnostics Technologies AS
8C1F644F2	Automation Displays Inc.
8C1F644F4	Staco Energy Products
8C1F644F5	BSTsecurity
8C1F644F6	Private
8C1F644F7	SmartD Technologies Inc
8C1F644F9	Photonic Science and Engineering Ltd
8C1F644FA	Sanskruti
8C1F644FB	MESA TECHNOLOGIES LLC
8C1F64500	Nepean Networks Pty Ltd
8C1F64501	QUISS GmbH
8C1F64502	Samwell International Inc
8C1F64503	TUALCOM ELEKTRONIK A.S.
8C1F64504	EA Elektroautomatik GmbH & Co. KG
8C1F64505	Hitachi Energy Australia Pty. Ltd.
8C1F64506	UrbanChain Group Co., Ltd
8C1F64507	IDNEO TECHNOLOGIES,S.A.U.
8C1F64508	Kite Rise Technologies GmbH
8C1F64509	Season Electronics Ltd
8C1F6450A	BELLCO TRADING COMPANY (PVT) LTD
8C1F6450B	Beijing Entian Technology Development Co., Ltd
8C1F6450C	Automata GmbH & Co. KG
8C1F6450D	Shenzhen Guanxin Information Technology Co.,Ltd
8C1F6450E	Panoramic Power
8C1F64510	Novanta IMS
8C1F64511	Control Aut Tecnologia em Automação LTDA
